source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_lpips_bh8_m64_20260924_053731,wlpips_bh8_m64_tau0.0625_rdoq,wlpips_bh8_m64,lpips,gnblock,block,0.0625,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.08439267070685975,0.1279313034898815,0.13656623926590847,0.06230315619305445,-0.500925886140465,-0.787971321733473,0.125862906624305,-0.36149122362366487,-0.4735503514856784,-0.5953657815262299,-0.9081376849835232
vvc_rdo_lpips_bh8_m64_20260924_053731,wlpips_bh8_m64_tau0.03125_rdoq,wlpips_bh8_m64,lpips,gnblock,block,0.03125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.05531948134353398,0.11415991115199392,0.05144842448515189,-0.03691857283158462,-0.608899089294478,-1.0466009931254512,0.1344331358701207,-0.5125454259030835,-0.6353117079802707,-0.7811797551120657,-1.2073692573891925
vvc_rdo_lpips_bh8_m254_20260924_063527,wlpips_bh8_m254_tau0.5_rdoq,wlpips_bh8_m254,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.80310792208783,4.211066505306131,-4.156604795401486,-3.5033943969503603,-7.936227209880684,-6.0594040920515715,3.0866512570586235,-6.640832986367804,-5.241877170438591,-6.409852002923643,-8.675811360509686
vvc_rdo_lpips_bh8_m254_20260924_063527,wlpips_bh8_m254_tau1_rdoq,wlpips_bh8_m254,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.2728216282525566,1.9010080522851887,-3.4723706940294825,-3.0362307260457917,-6.82867803143355,-5.831950529197464,1.1870609009673354,-5.551555878186864,-4.4967182405819415,-5.338881996506629,-7.0856665440378235
vvc_rdo_lpips_bh8_m254_20260924_063527,wlpips_bh8_m254_tau2_rdoq,wlpips_bh8_m254,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.9483111600628638,0.7325510195678601,-2.6134777886485776,-2.341169752242834,-5.149786462534217,-4.242651027721849,0.2968435369483764,-4.37580020123358,-3.5259957902607915,-4.116422451731849,-5.423462961662575
vvc_rdo_lpips_bh8_m254_20260924_063527,wlpips_bh8_m254_tau4_rdoq,wlpips_bh8_m254,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.3563166975091357,0.20174270300178654,-1.7784004082342957,-1.6297769665109854,-3.2806673220929334,-3.0938044684599126,-0.1101157435709423,-2.773738459845313,-2.3346287626345066,-2.697579570000773,-3.559358628686306
vvc_rdo_lpips_bh8_m128_20260924_063822,wlpips_bh8_m128_tau0.25_rdoq,wlpips_bh8_m128,lpips,gnblock,block,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.852319425267769,4.486843987946789,-2.0532408333238314,-1.524979573057669,-0.11718743693961968,1.7884578019679183,3.82423127926052,-1.103168437467093,-0.9398616545298323,-1.5349215971175774,-2.2418157426655445
vvc_rdo_lpips_bh8_m128_20260924_063822,wlpips_bh8_m128_tau0.125_rdoq,wlpips_bh8_m128,lpips,gnblock,block,0.125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.465464416217683,7.858637365925794,-1.915788739672722,-1.3152367696447147,0.456206263267186,2.9098817673115875,6.770821484837325,-0.9115452032008897,-0.33628012203943586,-1.1889452065827542,-2.26317890622775
vvc_rdo_lpips_bh8_m254_20260924_074709,wlpips_bh8_m254_tau0.25_rdoq,wlpips_bh8_m254,lpips,gnblock,block,0.25,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",9.092894697605102,8.178259616723986,-4.602113085589816,-3.7824170893100018,-9.565249630410717,-6.021522144708577,6.472469209997773,-7.438198794702427,-5.590120328261676,-7.186994518336132,-10.0886925037518
vvc_rdo_lpips_bh8_m254_20260924_074709,wlpips_bh8_m254_tau0.125_rdoq,wlpips_bh8_m254,lpips,gnblock,block,0.125,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",14.676650992739747,13.35075416005679,-4.495536010960012,-3.5059115547860866,-10.026742983600984,-6.482919673795689,10.897262382434944,-8.153807048559557,-5.379390264569118,-7.430800940089583,-10.859889817055512
vvc_rdo_lpips_bh8_m253_20260924_081824,wlpips_bh8_m253_tau0.5_rdoq,wlpips_bh8_m253,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.197563806669683,7.05354990733318,-6.015431116764034,-5.242874813540001,-14.821559508016628,-10.635738950379732,4.90274757780564,-13.788545016305369,-9.596365976974093,-11.600334035974953,-15.232116764745948
vvc_rdo_lpips_bh8_m253_20260924_081824,wlpips_bh8_m253_tau1_rdoq,wlpips_bh8_m253,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.183494074172365,3.418394222121592,-5.239454587225534,-4.750953641363052,-12.656366632717559,-10.307121167573726,1.9604964685785526,-11.749914412686294,-8.307716046451675,-9.803121618037244,-12.653650110079036
vvc_rdo_lpips_bh8_m253_20260924_081824,wlpips_bh8_m253_tau2_rdoq,wlpips_bh8_m253,lpips,gnblock,block,2,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.8809999990298298,1.3940171082690143,-4.143752689891627,-3.7968803812099967,-9.792545491454486,-7.847626272661675,0.4804529646013407,-9.10582814742264,-6.480066617006926,-7.531807459573527,-9.73542856439743
vvc_rdo_lpips_bh8_m253_20260924_081824,wlpips_bh8_m253_tau4_rdoq,wlpips_bh8_m253,lpips,gnblock,block,4,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",0.750780901145549,0.44251843982392,-2.9978717356508215,-2.787185722974679,-7.049111480828405,-5.993288393749662,-0.12127697916855483,-6.579473393871445,-4.57506906121501,-5.280343035155007,-6.794210612362538
vvc_rdo_lpips_bh8_m251_20260924_093030,wlpips_bh8_m251_tau0.5_rdoq,wlpips_bh8_m251,lpips,gnblock,block,0.5,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",8.315865611651262,7.187793574902206,-5.991579816555878,-5.305580839603873,-15.001177088802985,-10.925854075723484,5.0254544918393975,-14.484759133767696,-9.899784920446127,-11.969465698941901,-15.867092481387393
vvc_rdo_lpips_bh8_m251_20260924_093030,wlpips_bh8_m251_tau1_rdoq,wlpips_bh8_m251,lpips,gnblock,block,1,256,3.0,16,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",4.259571509250326,3.490036621324031,-5.403427029395243,-4.841982126032661,-12.994827652911098,-10.136229033466169,1.9937193916798286,-12.390313495144055,-8.66411436068067,-10.233707289933108,-13.36820358947328
