source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,ssim,-8.481569769658515
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,ssim,-9.632360423762687
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,ssim,-6.997428245737014
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,ssim,-8.310978885616594
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,ssim,-9.355251130080367
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,ssim,-6.826478088128962
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,ms_ssim,-5.748889570172155
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,ms_ssim,-5.5153716288395715
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,ms_ssim,-8.495996003633245
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,ms_ssim,-6.594554264386121
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,ms_ssim,-7.738613652817183
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,ms_ssim,-8.027433273260677
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,ms_ssim,-7.501308639137216
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,ms_ssim,-8.829719416927217
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,ms_ssim,-7.397664099670365
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,ms_ssim,-7.87101733429939
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,ms_ssim,-8.246774054053818
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim12,ms_ssim,-6.281396107204451
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim01,lpips,-7.554610666531925
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim02,lpips,-9.619711990472046
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim03,lpips,-7.7953915673306895
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim04,lpips,-7.269402309650774
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim05,lpips,-7.482152261792319
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim06,lpips,-6.38484723338526
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim07,lpips,-7.879530140134683
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim08,lpips,-7.538112103907169
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim09,lpips,-4.831175104218777
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim10,lpips,-6.48409228506136
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.25_rdoq,wwd_wds0,wd,0.25,128,3.0,"27,32,37,42",kodim11,lpips,-7.2290216503242855
