source,config,base,metric,estimator,kind,tau,m,sigma,R,R_rule,psd,clip_pct,plane_norm,rdoq,n_images,qps,bd_psnr_y,bd_psnr_yuv,bd_ssim,bd_ms_ssim,bd_lpips,bd_dists,bd_psnr_rgb,bd_lpips_alex,bd_wd0,bd_wd2,bd_wd4
vvc_rdo_ssim_sbh8m256_20260903_180325,wssim_sbh8m256_tau2_rdoq,wssim_sbh8m256,ssim,hutchblock,block,2,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",5.404681208840848,4.976930866538953,-21.258338228965485,-8.13849152641593,-3.124442883802644,0.7201377290079817,4.380397130214534,-1.5887273469037357,,,
vvc_rdo_ssim_sbh8m256_20260903_180325,wssim_sbh8m256_tau4_rdoq,wssim_sbh8m256,ssim,hutchblock,block,4,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.311399642163223,2.166309486340886,-16.045454313449376,-6.943123367738797,-3.3225671059623223,-1.1734697753011005,1.985234039910357,-1.987195931578061,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau0.25_rdoq,wssim_sbh8m256,ssim,hutchblock,block,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",33.6355649381819,30.53962550042631,-31.725299957614975,-4.880980251107467,4.2962554149113386,12.451238435767047,25.746581013267363,5.8384524246177305,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau0.5_rdoq,wssim_sbh8m256,ssim,hutchblock,block,0.5,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",19.688852313637696,17.97470702957524,-29.520980588869165,-7.375030762274072,0.7123789526363487,6.6629903009603195,15.359617526145485,2.478085565801221,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau1_rdoq,wssim_sbh8m256,ssim,hutchblock,block,1,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",10.765401431640896,9.865949332435873,-25.855209001093385,-8.473031159840076,-1.824255617805182,2.32708315403386,8.524925625709686,-0.5754783174727339,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau2_rdoq,wssim_sbh8m256,ssim,hutchblock,block,2,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",5.404681208840848,4.976930866538953,-21.258338228965485,-8.13849152641593,-3.124442883802644,0.7201377290079817,4.380397130214534,-1.5887273469037357,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau3_rdoq,wssim_sbh8m256,ssim,hutchblock,block,3,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",3.4157922658161213,3.1540071818567825,-18.26499413344921,-7.572765083383387,-3.5804221732670527,-0.8933399232166245,2.7991224545014006,-1.7772263192284685,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau4_rdoq,wssim_sbh8m256,ssim,hutchblock,block,4,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",2.311399642163223,2.166309486340886,-16.045454313449376,-6.943123367738797,-3.3225671059623223,-1.1734697753011005,1.985234039910357,-1.987195931578061,,,
vvc_rdo_ssim_sbh8m256_20260904_060908,wssim_sbh8m256_tau6_rdoq,wssim_sbh8m256,ssim,hutchblock,block,6,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",1.3285463320472581,1.2405541781500855,-13.018296480914335,-5.823559781025563,-3.1879209529371573,-1.1946086058862522,1.1571781148162013,-1.6556000822366856,,,
vvc_rdo_ssim_sn256_20260904_061207,wssim_sn256_tau0.25_rdoq,wssim_sn256,ssim,hutch,diag,0.25,256,0.0,1,m/16 if sigma>0 else 1,none,99.5,per_plane,1,24,"22,27,32,37",9.194917191617343,7.330870594454421,-12.752620143514639,-10.140304861625754,-7.6700691867805615,1.0552979381188659,4.26772522721279,-8.877861429420316,,,
