metric,tau_diag,tau_block,mean_diag,mean_block,mean_qpa,wins_block_vs_diag,wins_block_vs_qpa,n,diff_BD,ci95_BD_lo,ci95_BD_hi,diff_BQ,ci95_BQ_lo,ci95_BQ_hi
SSIM,0.25,1.0,-12.752620143514639,-25.855209001093385,-8.094629924765538,24,24,24,-13.102588857578747,-14.466525759532917,-11.882784756893946,-17.760579076327847,-19.875289007310563,-15.70738074930051
MS-SSIM,0.25,1.0,-12.338512096184294,-15.402483337951258,-6.065071558967387,24,24,24,-3.0639712417669642,-3.6870883682716586,-2.463729119021041,-9.33741177898387,-10.801554719178613,-7.911526401794777
LPIPS,0.25,0.5,-11.402228753522278,-15.89902277732899,-12.32350884957935,24,18,24,-4.496794023806711,-5.185357313344556,-3.750725603896821,-3.5755139277496397,-5.4073389723943786,-1.895854075272064
DISTS,0.5,2.0,-11.631014966579153,-16.764973432827272,-7.928524076062581,22,23,24,-5.133958466248119,-6.242353186041444,-3.9979962687879893,-8.836449356764692,-11.5472158560701,-6.21925752823933
WD,0.0625,1.0,-13.434719837270933,-18.899627779160237,-12.349344370009584,24,24,24,-5.4649079418893045,-6.399706898964464,-4.523042895664842,-6.550283409150653,-7.586904237858125,-5.404078315232625
