metric,image,n_rows,diag_frac,block_frac,dom,block_dom,r95,cross_plane
SSIM,kodim01,384,0.10924553871154785,0.9856622815132141,0.059541620314121246,0.5753025412559509,2.0,0.0
SSIM,kodim05,384,0.10957592725753784,0.9879924058914185,0.06245618313550949,0.5976716876029968,2.0,0.0
SSIM,kodim19,384,0.10922440886497498,0.9864852428436279,0.05910639837384224,0.5818290710449219,2.0,0.0
SSIM,MEAN,1152,0.10934862494468689,0.9867133100827535,0.06036806727449099,0.5849344333012899,2.0,0.0
MS_SSIM,kodim01,384,0.39354872703552246,0.9868988990783691,0.06838610023260117,0.45255380868911743,3.0,0.0
MS_SSIM,kodim05,384,0.5283218026161194,0.9901496171951294,0.1543140411376953,0.4927534759044647,1.0,0.0
MS_SSIM,kodim19,384,0.34071215987205505,0.9879834651947021,0.0769713968038559,0.5000190138816833,3.0,0.0
MS_SSIM,MEAN,1152,0.420860896507899,0.9883439938227335,0.09989051272471745,0.4817754328250885,2.3333333333333335,0.0
